block,expert,token_count_mean,router_conf_mean_mean,vmem_abs_mean_mean,vmem_var_t_mean_mean,vmem_entropy_mean_mean,spike_rate_mean_mean,spike_entropy_mean_mean,isi_mean_mean,isi_cv_mean_mean
0,0,3031.875,0.6162313222885132,3.926999881863594,0.18566172942519188,0.9819050543010235,0.3123746123164892,0.9999998845160007,1.0,0.0
0,1,1064.125,0.5677229575812817,3.7989866882562637,0.19111320469528437,0.981025218963623,0.3033599592745304,0.9999998919665813,1.0,0.0
1,0,1838.375,0.7025577239692211,5.654236972332001,0.6851905360817909,0.9866031110286713,0.2938320320099592,0.9999998696148396,1.0,0.0
1,1,2257.625,0.6963490657508373,5.339370310306549,0.6086418405175209,0.9867558106780052,0.29957043938338757,0.9999998845160007,1.0,0.0
